,fighter1,fighter2,event_name,event_date,details,result,fighter_name
1,Ben Rothwell,Gilbert Yvel,UFC® 115,"Jun 12, 2010",LIDDELL vs. FRANKLIN,Loss,Gilbert Yvel
2,Junior Dos Santos,Gilbert Yvel,UFC® 108,"Jan 2, 2010",EVANS vs SILVA,Loss,Gilbert Yvel
3,Josh Barnett,Gilbert Yvel,Affliction - Day of Reckoning,"Jan 24, 2009",,Loss,Gilbert Yvel
4,Gilbert Yvel,Akira Shoji,PRIDE 34,"Apr 8, 2007",Kamikaze,Win,Gilbert Yvel
5,Roman Zentsov,Gilbert Yvel,PRIDE Total Elimination Absolute,"May 5, 2006",,Loss,Gilbert Yvel
6,Ikuhisa Minowa,Gilbert Yvel,PRIDE Bushido 6,"Apr 3, 2005",,Loss,Gilbert Yvel
7,Jeremy Horn,Gilbert Yvel,PRIDE 21,"Jun 23, 2002",Demolition,Loss,Gilbert Yvel
8,Don Frye,Gilbert Yvel,PRIDE 16,"Sep 24, 2001",Beasts from the East,Loss,Gilbert Yvel
9,Igor Vovchanchyn,Gilbert Yvel,PRIDE 14,"May 27, 2001",Clash of the Titans,Loss,Gilbert Yvel
10,Kazuyuki Fujita,Gilbert Yvel,PRIDE 12,"Dec 9, 2000",Cold Fury,Loss,Gilbert Yvel
11,Wanderlei Silva,Gilbert Yvel,PRIDE 11,"Oct 31, 2000",Battle of the Rising Sun,NO CONTEST,Gilbert Yvel
12,Gilbert Yvel,Gary Goodridge,PRIDE 10,"Aug 27, 2000",Return of the Warriors,Win,Gilbert Yvel
13,Vitor Belfort,Gilbert Yvel,PRIDE 9,"Jun 4, 2000",New Blood,Loss,Gilbert Yvel
0,Luke Zachrich,Daniel Kelly,UFC Fight Night Rockhold vs. Bisping,"Nov 7, 2014",UFC FIGHT PASS,Loss,Luke Zachrich
1,Luke Zachrich,Guilherme Vasconcelos,UFC 175 Weidman vs. Machida,"Jul 5, 2014",Live on Pay-Per-View,Win,Luke Zachrich
2,Caio Magalhaes,Luke Zachrich,UFC Fight Night Werdum vs. Browne,"Apr 19, 2014",Sportsnet 360,Loss,Luke Zachrich
0,Li Jingliang,Anton Zafir,The Ultimate Fighter Finale Team Joanna vs. Team Claudia,"Jul 8, 2016",TSN 5,Loss,Anton Zafir
1,James Moontasri,Anton Zafir,UFC 193 Rousey vs Holm,"Nov 14, 2015",Live on Pay-Per-View,Loss,Anton Zafir
0,Shinsho Anzai,Roger Zapata,UFC Fight Night Nelson vs. Barnett,"Sep 26, 2015",TSN 5,Loss,Roger Zapata
0,Joao Zeferino,Elias Silverio,UFC,"Sep 4, 2013",Teixeira vs. Bader Teixeira vs. Bader:Sept. 4 on FOX Sports 1,Loss,Joao Zeferino
1,Rafael Natal,Joao Zeferino,UFC on FX 8 Live from Brazil,"May 18, 2013",Belfort vs. Rockhold,Loss,Joao Zeferino
0,Yao Zhikui,Jenel Lausa,UFC Fight Night Whittaker vs Brunson,"Nov 26, 2016",Live on TSN 5,Loss,Yao Zhikui
1,Yao Zhikui,Fredy Serrano,UFC Fight Night Henderson vs Masvidal,"Nov 28, 2015",Fight Network,Loss,Yao Zhikui
2,Nolan Ticman,Yao Zhikui,UFC Fight Night Edgar vs. Faber,"May 16, 2015",TSN,Win,Yao Zhikui
3,Yao Zhikui,Royston Wee,UFC Fight Night Bisping vs. Le,"Aug 23, 2014",UFC FIGHT PASS,Loss,Yao Zhikui
0,Andrei Arlovski,Shamil Abdurakhimov,UFC Fight Night Hunt vs Oleinik,"Sep 15, 2018",Live on Fight Network,Win,Shamil Abdurakhimov
1,Chase Sherman,Shamil Abdurakhimov,UFC Fight Night Bisping vs Gastelum,"Nov 25, 2017",Live on Fight Network,Win,Shamil Abdurakhimov
2,Derrick Lewis,Shamil Abdurakhimov,UFC Fight Night Lewis vs Abdurakhimov,"Dec 9, 2016",Live on Fight Network and UFC FIGHT PASS,Loss,Shamil Abdurakhimov
3,Shamil Abdurakhimov,Walt Harris,UFC Fight Night Lineker vs Dodson,"Oct 1, 2016",Live on TSN 2,Win,Shamil Abdurakhimov
4,Anthony Hamilton,Shamil Abdurakhimov,UFC Fight Night Cowboy vs. Cowboy,"Feb 21, 2016",Live on TSN 2,Win,Shamil Abdurakhimov
5,Shamil Abdurakhimov,Timothy Johnson,UFC Fight Night Mendes vs. Lamas,"Apr 4, 2015",TSN 2,Loss,Shamil Abdurakhimov
0,Li Jingliang,Daichi Abe,UFC Fight Night Cowboy vs Edwards,"Jun 23, 2018",Live on Fight Network,Loss,Daichi Abe
1,Luke Jumeau,Daichi Abe,UFC 221 Romero vs Rockhold,"Feb 10, 2018",Live on Pay-Per-View,Loss,Daichi Abe
2,Daichi Abe,Hyun Gyu Lim,UFC Fight Night Shogun vs Saint Preux 2,"Sep 22, 2017",Live on TSN 2 and RDS 2,Win,Daichi Abe
0,Derek Brunson,Israel Adesanya,UFC 230 Cormier vs Lewis,"Nov 3, 2018",Live on Pay-Per-View,Win,Israel Adesanya
1,Brad Tavares,Israel Adesanya,The Ultimate Fighter Finale Tavares vs Adesanya,"Jul 6, 2018",Live on TSN 3,Win,Israel Adesanya
2,Israel Adesanya,Marvin Vettori,UFC Fight Night Poirier vs Gaethje,"Apr 14, 2018",Live on CTV TWO,Win,Israel Adesanya
3,Rob Wilkinson,Israel Adesanya,UFC 221 Romero vs Rockhold,"Feb 10, 2018",Live on Pay-Per-View,Win,Israel Adesanya
0,Weili Zhang,Jessica Aguilar,UFC Fight Night,"Nov 24, 2018",Ngannou vs. Blaydes,UPCOMING,Jessica Aguilar
1,Jessica Aguilar,Jodie Esquibel,UFC Fight Night Dos Santos vs Ivanov,"Jul 14, 2018",Live on TSN 2,Win,Jessica Aguilar
2,Jessica Aguilar,Cortney Casey,UFC 211 Miocic vs Dos Santos 2,"May 13, 2017",Live on Pay-Per-View,Loss,Jessica Aguilar
3,Claudia Gadelha,Jessica Aguilar,UFC 190 Rousey vs. Correia,"Aug 1, 2015",Live on Pay-Per-View,Loss,Jessica Aguilar
0,Marvin Vettori,Omari Akhmedov,UFC 219 Cyborg vs Holm,"Dec 30, 2017",Live on Pay-Per-View,DRAW,Omari Akhmedov
1,Abdul Razak Alhassan,Omari Akhmedov,UFC Fight Night Gustafsson vs Teixeira,"May 28, 2017",Live on TSN 5,Win,Omari Akhmedov
2,Kyle Noke,Omari Akhmedov,UFC Fight Night Whittaker vs Brunson,"Nov 26, 2016",Live on TSN 5,Win,Omari Akhmedov
3,Elizeu Zaleski dos Santos,Omari Akhmedov,UFC Fight Night Teixeira vs. Evans,"Apr 16, 2016",Live on CTV TWO,Loss,Omari Akhmedov
4,Omari Akhmedov,Sergio Moraes,UFC Fight Night Namajunas vs VanZant,"Dec 10, 2015",Fight Network,Loss,Omari Akhmedov
5,Brian Ebersole,Omari Akhmedov,UFC Fight Night Boetsch vs. Henderson,"Jun 6, 2015",TSN 5,Win,Omari Akhmedov
6,Omari Akhmedov,Mats Nilsson,UFC 182 Jones vs. Cormier,"Jan 3, 2015",Live on Pay-Per-View,Win,Omari Akhmedov
7,Gunnar Nelson,Omari Akhmedov,UFC Fight Night Gustafsson vs. Manuwa,"Mar 8, 2014",UFC Fight Pass,Loss,Omari Akhmedov
8,Thiago Perpétuo,Omari Akhmedov,UFC Fight Night Live on Sportsnet 360,"Nov 9, 2013",Belfort vs. Henderson,Win,Omari Akhmedov
0,Aleksei Oleinik,Junior Albini,UFC 224 Nunes vs Pennington,"May 12, 2018",Live on Pay-Per-View,Loss,Junior Albini
1,Junior Albini,Andrei Arlovski,UFC Fight Night Poirier vs Pettis,"Nov 11, 2017",Live on TSN 5,Loss,Junior Albini
2,Timothy Johnson,Junior Albini,UFC Fight Night Weidman vs Gastelum,"Jul 22, 2017",Live on CTV TWO,Win,Junior Albini
0,Kailin Curran,Alexandra Albu,UFC 214 Cormier vs Jones 2,"Jul 29, 2017",Live on Pay-Per-View,Win,Alexandra Albu
1,Izabela Badurek,Alexandra Albu,UFC Fight Night Gonzaga vs. Cro Cop 2,"Apr 11, 2015",FIGHT NETWORK,Win,Alexandra Albu
0,Cory Sandhagen,Iuri Alcantara,UFC Fight Night Gaethje vs Vick,"Aug 25, 2018",Live on TSN 5,Loss,Iuri Alcantara
1,Iuri Alcantara,Joe Soto,UFC Fight Night Machida vs. Anders,"Feb 3, 2018",Live on TSN 2,Win,Iuri Alcantara
2,Alejandro Perez,Iuri Alcantara,UFC Fight Night Swanson vs Ortega,"Dec 9, 2017",Live on TSN 5,Loss,Iuri Alcantara
3,Iuri Alcantara,Brian Kelleher,UFC 212 Aldo vs Holloway,"Jun 3, 2017",Live on Pay-Per-View,Loss,Iuri Alcantara
4,Iuri Alcantara,Luke Sanders,UFC 209 Woodley vs Thompson 2,"Mar 4, 2017",Live on Pay-Per-View,Win,Iuri Alcantara
5,Brad Pickett,Iuri Alcantara,UFC 204 Bisping vs Henderson,"Oct 8, 2016",Live on Pay-Per-View,Win,Iuri Alcantara
6,Iuri Alcantara,Jimmie Rivera,UFC Fight Night Johnson vs. Bader,"Jan 30, 2016",Live on FOX,Loss,Iuri Alcantara
7,Iuri Alcantara,Leandro Issa,UFC 190 Rousey vs. Correia,"Aug 1, 2015",Live on Pay-Per-View,Win,Iuri Alcantara
8,Iuri Alcantara,Frankie Saenz,UFC Fight Night Bigfoot vs. Mir,"Feb 22, 2015",TSN 2,Loss,Iuri Alcantara
9,Iuri Alcantara,Russell Doane,UFC Fight Night Bigfoot vs. Arlovski,"Sep 13, 2014",UFC FIGHT PASS,Win,Iuri Alcantara
10,Vaughan Lee,Iuri Alcantara,UFC Fight Night,"May 31, 2014",Munoz vs Mousasi,Win,Iuri Alcantara
11,Iuri Alcantara,Wilson Reis,UFC Fight Night Live on Sportsnet 360,"Feb 15, 2014",Machida vs. Mousasi,Win,Iuri Alcantara
12,Urijah Faber,Iuri Alcantara,UFC,"Aug 17, 2013",Shogun vs. Sonnen Live on SN 360:Live from Boston,Loss,Iuri Alcantara
13,Iuri Alcantara,Iliarde Santos,UFC on FX 8 Live from Brazil,"May 18, 2013",Belfort vs. Rockhold,Win,Iuri Alcantara
14,Iuri Alcantara,Pedro Nobre,UFC ON SPORTSNET,"Jan 19, 2013",Belfort vs. Bisping,NO CONTEST,Iuri Alcantara
15,Iuri Alcantara,Hacran Dias,UFC® 147,"Jun 23, 2012",Silva vs. Franklin II,Loss,Iuri Alcantara
16,Iuri Alcantara,Michihiro Omigawa,UFC® RIO,"Jan 14, 2012",Aldo vs. Mendes,Win,Iuri Alcantara
17,Iuri Alcantara,Felipe Arantes,UFC® RIO Live on Pay-Per-View,"Aug 27, 2011",Silva vs. Okami,Win,Iuri Alcantara
18,Ricardo Lamas,Iuri Alcantara,WEC 53,"Dec 16, 2010",Henderson vs. Pettis,Win,Iuri Alcantara
0,Laureano Staropoli,Hector Aldana,UFC Fight Night,"Nov 17, 2018",Magny vs. Ponzinibbio,UPCOMING,Hector Aldana
1,Song Kenan,Hector Aldana,UFC Fight Night Cowboy vs Edwards,"Jun 23, 2018",Live on Fight Network,Loss,Hector Aldana
0,Irene Aldana,Lucie Pudilova,UFC 228 Woodley vs. Till,"Sep 8, 2018",Live on Pay-Per-View,Win,Irene Aldana
1,Talita Bernardo,Irene Aldana,UFC Fight Night Stephens vs Choi,"Jan 14, 2018",Live on TSN 5,Win,Irene Aldana
2,Katlyn Chookagian,Irene Aldana,UFC 210 Cormier vs. Johnson 2,"Apr 8, 2017",Live on Pay-Per-View,Loss,Irene Aldana
3,Leslie Smith,Irene Aldana,UFC Fight Night VanZant vs Waterson,"Dec 17, 2016",Live on TSN 4 & 5,Loss,Irene Aldana
0,Jose Aldo,Jeremy Stephens,UFC Fight Night Alvarez vs Poirier,"Jul 28, 2018",Live on CTV TWO,Win,Jose Aldo
1,Max Holloway,Jose Aldo,UFC 218 Holloway vs Aldo 2,"Dec 2, 2017",Live on Pay-Per-View,,Jose Aldo
2,Jose Aldo,Max Holloway,UFC 212 Aldo vs Holloway,"Jun 3, 2017",Live on Pay-Per-View,,Jose Aldo
3,Jose Aldo,Frankie Edgar,UFC 200 Tate vs Nunes,"Jul 9, 2016",Live on Pay-Per-View,,Jose Aldo
4,Jose Aldo,Conor McGregor,UFC 194 Aldo vs McGregor,"Dec 12, 2015",Live on Pay-Per-View,,Jose Aldo
5,Jose Aldo,Chad Mendes,UFC 179 Aldo vs. Mendes 2,"Oct 25, 2014",Live on Pay-Per-View,,Jose Aldo
6,Jose Aldo,Ricardo Lamas,UFC 169 Live on Pay-Per-View,"Feb 1, 2014",Barao vs. Faber,,Jose Aldo
7,Jose Aldo,Chan Sung Jung,UFC 163 Live on Pay-Per-View,"Aug 3, 2013",Aldo vs. Korean Zombie,,Jose Aldo
8,Jose Aldo,Frankie Edgar,UFC 156,"Feb 2, 2013",Aldo vs. Edgar,,Jose Aldo
9,Jose Aldo,Chad Mendes,UFC® RIO,"Jan 14, 2012",Aldo vs. Mendes,,Jose Aldo
10,Jose Aldo,Kenny Florian,UFC® 136,"Oct 8, 2011",EDGAR vs. MAYNARD III,,Jose Aldo
11,Jose Aldo,Mark Hominick,UFC® 129,"Apr 30, 2011",ST-PIERRE vs. SHIELDS,,Jose Aldo
12,Jose Aldo,Manvel Gamburyan,WEC 51,"Sep 30, 2010",Aldo vs. Gamburyan,,Jose Aldo
13,Jose Aldo,Urijah Faber,WEC 48,"Apr 24, 2010",Aldo vs. Faber,,Jose Aldo
14,Jose Aldo,Mike Brown,WEC 44,"Nov 18, 2009",Brown vs. Aldo,,Jose Aldo
15,Jose Aldo,Cub Swanson,WEC 41,"Jun 7, 2009",Brown vs. Faber 2,Win,Jose Aldo
16,Jose Aldo,Chris Mickle,WEC 39,"Mar 1, 2009",Brown vs. Garcia,Win,Jose Aldo
17,Jose Aldo,Rolando Perez,WEC 38,"Jan 25, 2009",Varner vs. Cerrone,Win,Jose Aldo
18,Jose Aldo,Jonathan Brookins,WEC 36,"Nov 5, 2008",Faber vs. Brown,Win,Jose Aldo
19,Jose Aldo,Alexandre Franca Nogueira,WEC 34,"Jun 1, 2008",Faber vs. Pulver,Win,Jose Aldo
0,Polyana Viana,JJ Aldrich,UFC 227 Dillashaw vs Garbrandt 2,"Aug 4, 2018",Live on Pay-Per-View,Win,JJ Aldrich
1,Danielle Taylor,JJ Aldrich,UFC Fight Night Stephens vs Choi,"Jan 14, 2018",Live on TSN 5,Win,JJ Aldrich
2,JJ Aldrich,Chanmi Jeon,UFC Fight Night Lewis vs Hunt,"Jun 10, 2017",Live on TSN 5,Win,JJ Aldrich
3,Juliana Lima,JJ Aldrich,UFC Fight Night Lewis vs Abdurakhimov,"Dec 9, 2016",Live on Fight Network and UFC FIGHT PASS,Loss,JJ Aldrich
0,Abdul Razak Alhassan,Niko Price,UFC 228 Woodley vs. Till,"Sep 8, 2018",Live on Pay-Per-View,Win,Abdul Razak Alhass...
1,Sabah Homasi,Abdul Razak Alhassan,UFC 220 Miocic vs Ngannou,"Jan 20, 2018",Live on Pay-Per-View,Win,Abdul Razak Alhass...
2,Sabah Homasi,Abdul Razak Alhassan,UFC 218 Holloway vs Aldo 2,"Dec 2, 2017",Live on Pay-Per-View,Win,Abdul Razak Alhass...
3,Abdul Razak Alhassan,Omari Akhmedov,UFC Fight Night Gustafsson vs Teixeira,"May 28, 2017",Live on TSN 5,Loss,Abdul Razak Alhass...
4,Charlie Ward,Abdul Razak Alhassan,UFC Fight Night Mousasi vs Hall 2,"Nov 19, 2016",Live on Fight Network & UFC FIGHT PASS,Win,Abdul Razak Alhass...
0,Warlley Alves,Sultan Aliev,UFC 224 Nunes vs Pennington,"May 12, 2018",Live on Pay-Per-View,Loss,Sultan Aliev
1,Bojan Velickovic,Sultan Aliev,UFC Fight Night VanZant vs Waterson,"Dec 17, 2016",Live on TSN 4 & 5,Win,Sultan Aliev
2,Kenny Robertson,Sultan Aliev,UFC Fight Night Gustafsson vs. Johnson,"Jan 24, 2015",Live on TSN 4,Loss,Sultan Aliev
0,Rick Glenn,Arnold Allen,UFC - TUF 28 Finale,"Nov 30, 2018",,UPCOMING,Arnold Allen
1,Arnold Allen,Mads Burnell,UFC Fight Night Thompson vs Till,"May 27, 2018",Live on TSN 5,Win,Arnold Allen
2,Arnold Allen,Makwan Amirkhani,UFC Fight Night Manuwa vs Anderson,"Mar 18, 2017",Live on Fight Network,Win,Arnold Allen
3,Arnold Allen,Yaotzin Meza,UFC Fight Night Silva vs. Bisping,"Feb 27, 2016",Live on Fight Network,Win,Arnold Allen
4,Alan Omer,Arnold Allen,UFC Fight Night Jedrzejczyk vs. Penne,"Jun 20, 2015",Fight Network,Win,Arnold Allen
0,Thomas Almeida,Rob Font,UFC 220 Miocic vs Ngannou,"Jan 20, 2018",Live on Pay-Per-View,Loss,Thomas Almeida
1,Jimmie Rivera,Thomas Almeida,UFC Fight Night Weidman vs Gastelum,"Jul 22, 2017",Live on CTV TWO,Loss,Thomas Almeida
2,Thomas Almeida,Albert Morales,UFC Fight Night Bader vs Nogueira,"Nov 19, 2016",Live on TSN 5,Win,Thomas Almeida
3,Thomas Almeida,Cody Garbrandt,UFC Fight Night Almeida vs. Garbrandt,"May 29, 2016",TSN 5,Loss,Thomas Almeida
4,Thomas Almeida,Anthony Birchak,UFC Fight Night Belfort vs Henderson,"Nov 7, 2015",FS1,Win,Thomas Almeida
5,Brad Pickett,Thomas Almeida,UFC 189 Mendes vs. McGregor,"Jul 11, 2015",Live on Pay-Per-View,Win,Thomas Almeida
6,Yves Jabouin,Thomas Almeida,UFC 186 Johnson vs. Horiguchi,"Apr 25, 2015",Live on Pay-Per-View,Win,Thomas Almeida
7,Thomas Almeida,Tim Gorman,UFC Fight Night Shogun vs. Saint Preux,"Nov 8, 2014",UFC FIGHT PASS,Win,Thomas Almeida
0,Eddie Alvarez,Dustin Poirier,UFC Fight Night Alvarez vs Poirier,"Jul 28, 2018",Live on CTV TWO,Loss,Eddie Alvarez
1,Eddie Alvarez,Justin Gaethje,UFC 218 Holloway vs Aldo 2,"Dec 2, 2017",Live on Pay-Per-View,Win,Eddie Alvarez
2,Eddie Alvarez,Dustin Poirier,UFC 211 Miocic vs Dos Santos 2,"May 13, 2017",Live on Pay-Per-View,NO CONTEST,Eddie Alvarez
3,Eddie Alvarez,Conor McGregor,UFC 205 Alvarez vs McGregor,"Nov 12, 2016",Live on Pay-Per-View,,Eddie Alvarez
4,Rafael Dos Anjos,Eddie Alvarez,UFC Fight Night Dos Anjos vs. Alvarez,"Jul 7, 2016",Live on Fight Network,,Eddie Alvarez
5,Anthony Pettis,Eddie Alvarez,UFC Fight Night Dillashaw vs. Cruz,"Jan 17, 2016",TSN 5,Win,Eddie Alvarez
6,Gilbert Melendez,Eddie Alvarez,UFC 188 Velasquez vs. Werdum,"Jun 13, 2015",Live on Pay-Per-View,Win,Eddie Alvarez
7,Donald Cerrone,Eddie Alvarez,UFC 178 Johnson vs. Cariaso,"Sep 27, 2014",Live on Pay-Per-View,Loss,Eddie Alvarez
8,Eddie Alvarez,Katsunori Kikuno,DREAM 12,"Oct 25, 2009",,Win,Eddie Alvarez
9,Shinya Aoki,Eddie Alvarez,Dynamite!! 2008,"Dec 31, 2008",,Loss,Eddie Alvarez
10,Eddie Alvarez,Tatsuya Kawajiri,DREAM 5,"Jul 21, 2008",Lightweight Grand Prix 2008 Final Round,Win,Eddie Alvarez
11,Eddie Alvarez,Joachim Hansen,DREAM 3,"May 11, 2008",Lightweight Grand Prix 2008 2nd Round,Win,Eddie Alvarez
12,Eddie Alvarez,Andre Amado,DREAM 1,"Mar 15, 2008",Lightweight Grand Prix 2008 1st Round,Win,Eddie Alvarez
0,Martin Day,Jaime Alvarez,Tuesday Night Contender Series Live on UFC FIGHT PASS,"Aug 15, 2017",Las Vegas,Win,Jaime Alvarez
0,Alexey Kunchenko,Thiago Alves,UFC Fight Night Hunt vs Oleinik,"Sep 15, 2018",Live on Fight Network,Loss,Thiago Alves
1,Thiago Alves,Curtis Millender,UFC Fight Night Cerrone vs Medeiros,"Feb 18, 2018",Live on TSN 2,Loss,Thiago Alves
2,Thiago Alves,Patrick Cote,UFC 210 Cormier vs. Johnson 2,"Apr 8, 2017",Live on Pay-Per-View,Win,Thiago Alves
3,Jim Miller,Thiago Alves,UFC 205 Alvarez vs McGregor,"Nov 12, 2016",Live on Pay-Per-View,Loss,Thiago Alves
4,Carlos Condit,Thiago Alves,UFC Fight Night Condit vs. Alves,"May 30, 2015",TSN,Loss,Thiago Alves
5,Jordan Mein,Thiago Alves,UFC 183 Silva vs. Diaz,"Jan 31, 2015",Live on Pay-Per-View,Win,Thiago Alves
6,Thiago Alves,Seth Baczynski,UFC Fight Night Werdum vs. Browne,"Apr 19, 2014",Sportsnet 360,Win,Thiago Alves
7,Thiago Alves,Martin Kampmann,UFC,"Mar 2, 2012",Alves vs. Kampmann,Loss,Thiago Alves
8,Thiago Alves,Papy  Abedi,UFC® 138,"Nov 5, 2011",LEBEN vs. MUNOZ,Win,Thiago Alves
9,Thiago Alves,Rick Story,UFC® 130,"May 28, 2011",Rampage vs. Hamill,Loss,Thiago Alves
10,Thiago Alves,John  Howard,UFC® 124,"Dec 11, 2010",ST-PIERRE vs KOSCHECK,Win,Thiago Alves
11,Jon Fitch,Thiago Alves,UFC 117,"Aug 7, 2010",Silva vs Sonnen,Loss,Thiago Alves
12,Georges St-Pierre,Thiago Alves,UFC® 100,"Jul 11, 2009",Lesnar vs. Mir II,,Thiago Alves
13,Thiago Alves,Josh Koscheck,UFC® 90,"Oct 25, 2008",SILVA vs COTE,Win,Thiago Alves
14,Thiago Alves,Matt Hughes,UFC® 85,"Jun 7, 2008",BEDLAM,Win,Thiago Alves
15,Thiago Alves,Karo Parisyan,UFC® Fight Night™,"Apr 2, 2008",FLORIAN vs LAUZON,Win,Thiago Alves
16,Thiago Alves,Chris Lytle,UFC® 78,"Nov 17, 2007",VALIDATION,Win,Thiago Alves
17,Thiago Alves,Kuniyoshi Hironaka,UFC® Fight Night™,"Sep 19, 2007",THOMAS vs FLORIAN,Win,Thiago Alves
18,Thiago Alves,Tony DeSouza,UFC® 66,"Dec 30, 2006",LIDDELL VS. ORTIZ,Win,Thiago Alves
19,Thiago Alves,John Alessio,Ortiz vs Shamrock 3,"Oct 10, 2006",The Final Chapter,Win,Thiago Alves
20,Jon Fitch,Thiago Alves,UFC® Fight Night™,"Jun 28, 2006",5,Loss,Thiago Alves
21,Thiago Alves,Derrick Noble,UFC® 59,"Apr 15, 2006",Reality Check,Win,Thiago Alves
22,Thiago Alves,Ansar Chalangov,UFC® 56,"Nov 19, 2005",Full Force,Win,Thiago Alves
23,Spencer Fisher,Thiago Alves,UFC® Fight Night™,"Oct 3, 2005",2,Loss,Thiago Alves
0,James Krause,Warlley Alves,UFC Fight Night Gaethje vs Vick,"Aug 25, 2018",Live on TSN 5,Loss,Warlley Alves
1,Warlley Alves,Sultan Aliev,UFC 224 Nunes vs Pennington,"May 12, 2018",Live on Pay-Per-View,Win,Warlley Alves
2,Salim Touahri,Warlley Alves,UFC Fight Night Cerrone vs Till,"Oct 21, 2017",Live on Fight Network,Win,Warlley Alves
3,Warlley Alves,Kamaru Usman,UFC Fight Night Bader vs Nogueira,"Nov 19, 2016",Live on TSN 5,Loss,Warlley Alves
4,Warlley Alves,Bryan Barberena,UFC 198 Werdum vs. Miocic,"May 14, 2016",Live on Pay-Per-View,Loss,Warlley Alves
5,Warlley Alves,Colby Covington,UFC 194 Aldo vs McGregor,"Dec 12, 2015",Live on Pay-Per-View,Win,Warlley Alves
6,Warlley Alves,Nordine Taleb,UFC 190 Rousey vs. Correia,"Aug 1, 2015",Live on Pay-Per-View,Win,Warlley Alves
7,Warlley Alves,Alan Jouban,UFC Fight Night Shogun vs. Saint Preux,"Nov 8, 2014",UFC FIGHT PASS,Win,Warlley Alves
8,Marcio  Alexandre,Warlley Alves,UFC Fight Night Miocic vs. Maldonado,"May 31, 2014",UFC Fight Pass,,Warlley Alves
0,Sam Alvey,Antonio Rogerio Nogueira,UFC Fight Night Santos vs Anders,"Sep 22, 2018",Live on TSN 5,Loss,Sam Alvey
1,Gian Villante,Sam Alvey,UFC Fight Night Rivera vs Moraes,"Jun 1, 2018",Live on TSN 2,Win,Sam Alvey
2,Sam Alvey,Marcin Prachnio,UFC Fight Night Emmett vs Stephens,"Feb 24, 2018",Live on CTV TWO,Win,Sam Alvey
3,Sam Alvey,Ramazan Emeev,UFC Fight Night Cerrone vs Till,"Oct 21, 2017",Live on Fight Network,Loss,Sam Alvey
4,Sam Alvey,Rashad Evans,UFC Fight Night Pettis vs Moreno,"Aug 5, 2017",Live on TSN 5,Win,Sam Alvey
5,Thales Leites,Sam Alvey,UFC Fight Night Swanson vs Lobov,"Apr 22, 2017",Live on TSN 5,Loss,Sam Alvey
6,Nate Marquardt,Sam Alvey,UFC Fight Night Shevchenko vs Pena,"Jan 28, 2017",Live on TSN 5,Win,Sam Alvey
7,Sam Alvey,Alex Nicholson,UFC Fight Night Dos Anjos vs Ferguson,"Nov 5, 2016",Live on TSN 5,Win,Sam Alvey
8,Sam Alvey,Kevin Casey,UFC Fight Night Maia vs Condit,"Aug 27, 2016",Live on CTV Two,Win,Sam Alvey
9,Eric Spicely,Sam Alvey,UFC Fight Night McDonald vs Lineker,"Jul 13, 2016",Live on TSN 2,Win,Sam Alvey
10,Elias Theodorou,Sam Alvey,UFC Fight Night MacDonald vs. Thompson,"Jun 18, 2016",Live on TSN 5,Loss,Sam Alvey
11,Derek Brunson,Sam Alvey,UFC Fight Night Teixeira vs. Saint Preux,"Aug 8, 2015",TSN 2,Loss,Sam Alvey
12,Daniel Kelly,Sam Alvey,UFC Fight Night Miocic vs. Hunt,"May 9, 2015",FIGHT NETWORK,Win,Sam Alvey
13,Cezar Ferreira,Sam Alvey,UFC Fight Night Bigfoot vs. Mir,"Feb 22, 2015",TSN 2,Win,Sam Alvey
14,Dylan Andrews,Sam Alvey,UFC Fight Night Rockhold vs. Bisping,"Nov 7, 2014",UFC FIGHT PASS,Win,Sam Alvey
15,Tom Watson,Sam Alvey,UFC Fight Night Bader vs. Saint Preux,"Aug 16, 2014",Sportsnet 360,Loss,Sam Alvey
0,Jason Knight,Makwan Amirkhani,UFC Fight Night Thompson vs Till,"May 27, 2018",Live on TSN 5,Win,Makwan Amirkhani
1,Arnold Allen,Makwan Amirkhani,UFC Fight Night Manuwa vs Anderson,"Mar 18, 2017",Live on Fight Network,Loss,Makwan Amirkhani
2,Mike Wilkinson,Makwan Amirkhani,UFC Fight Night Silva vs. Bisping,"Feb 27, 2016",Live on Fight Network,Win,Makwan Amirkhani
3,Makwan Amirkhani,Masio Fullen,UFC Fight Night Jedrzejczyk vs. Penne,"Jun 20, 2015",Fight Network,Win,Makwan Amirkhani
4,Andy Ogle,Makwan Amirkhani,UFC Fight Night Gustafsson vs. Johnson,"Jan 24, 2015",Live on TSN 4,Win,Makwan Amirkhani
0,Elias Theodorou,Eryk Anders,UFC 231,"Dec 8, 2018",Holloway vs. Ortega,UPCOMING,Eryk Anders
1,Thiago Santos,Eryk Anders,UFC Fight Night Santos vs Anders,"Sep 22, 2018",Live on TSN 5,Loss,Eryk Anders
2,Eryk Anders,Tim Williams,UFC Fight Night Gaethje vs Vick,"Aug 25, 2018",Live on TSN 5,Win,Eryk Anders
3,Lyoto Machida,Eryk Anders,UFC Fight Night Machida vs. Anders,"Feb 3, 2018",Live on TSN 2,Loss,Eryk Anders
4,Eryk Anders,Markus Perez,UFC Fight Night Swanson vs Ortega,"Dec 9, 2017",Live on TSN 5,Win,Eryk Anders
