,fighter1,fighter2,event_name,event_date,details,result,fighter_name
3,Keita Nakamura,Alex Morono,UFC Fight Night Shogun vs Saint Preux 2,"Sep 22, 2017",Live on TSN 2 and RDS 2,Loss,Alex Morono
4,Alex Morono,Niko Price,UFC Fight Night Bermudez vs Korean Zombie,"Feb 4, 2017",Live on TSN,NO CONTEST,Alex Morono
5,James Moontasri,Alex Morono,UFC Fight Night VanZant vs Waterson,"Dec 17, 2016",Live on TSN 4 & 5,Win,Alex Morono
6,Kyle Noke,Alex Morono,UFC 195 Lawler vs Condit,"Jan 2, 2016",Live on Pay-Per-View,Win,Alex Morono
0,Ariane Lipski,Maryna Moroz,UFC Fight Night,"Nov 17, 2018",Magny vs. Ponzinibbio,UPCOMING,Maryna Moroz
1,Maryna Moroz,Angela Hill,UFC Fight Night Emmett vs Stephens,"Feb 24, 2018",Live on CTV TWO,Loss,Maryna Moroz
2,Carla Esparza,Maryna Moroz,UFC Fight Night Chiesa vs Lee,"Jun 25, 2017",Live on TSN 5,Loss,Maryna Moroz
3,Maryna Moroz,Danielle Taylor,UFC Fight Night Rodriguez vs Caceres,"Aug 6, 2016",Live on TSN 5,Win,Maryna Moroz
4,Maryna Moroz,Cristina Stanciu,UFC Fight Night Rothwell vs. Dos Santos,"Apr 10, 2016",TSN 2,Win,Maryna Moroz
5,Maryna Moroz,Valerie  Letourneau,UFC Fight Night Holloway vs. Oliveira,"Aug 23, 2015",TSN 5,Loss,Maryna Moroz
6,Joanne Calderwood,Maryna Moroz,UFC Fight Night Gonzaga vs. Cro Cop 2,"Apr 11, 2015",FIGHT NETWORK,Win,Maryna Moroz
0,Jamie Moyle,Emily Whitmire,UFC 226 Miocic vs Cormier,"Jul 7, 2018",Live on Pay-Per-View,Loss,Jamie Moyle
1,Viviane Pereira,Jamie Moyle,UFC 212 Aldo vs Holloway,"Jun 3, 2017",Live on Pay-Per-View,Loss,Jamie Moyle
2,Kailin Curran,Jamie Moyle,The Ultimate Fighter A Tournament of Champions Finale,"Dec 3, 2016",Live on TSN 2,Win,Jamie Moyle
0,Wu Yanan,Lauren Mueller,UFC Fight Night,"Nov 24, 2018",Ngannou vs. Blaydes,UPCOMING,Lauren Mueller
1,Shana Dobson,Lauren Mueller,UFC Fight Night Poirier vs Gaethje,"Apr 14, 2018",Live on CTV TWO,Win,Lauren Mueller
2,Lauren Mueller,Kelly Velasco,Tuesday Night Contender Series Live on UFC FIGHT PASS,"Aug 29, 2017",Las Vegas,Win,Lauren Mueller
0,Belal Muhammad,Chance Rencountre,UFC Fight Night Rivera vs Moraes,"Jun 1, 2018",Live on TSN 2,Win,Belal Muhammad
1,Tim Means,Belal Muhammad,UFC Fight Night Werdum vs Tybura,"Nov 18, 2017",Live on TSN 5,Win,Belal Muhammad
2,Jordan Mein,Belal Muhammad,UFC 213 Nunes vs Shevchenko,"Jul 8, 2017",Live on Pay-Per-View,Win,Belal Muhammad
3,Randy Brown,Belal Muhammad,"UFC 208 Brooklyn, NY","Feb 11, 2017",Live on Pay-Per-View,Win,Belal Muhammad
4,Vicente Luque,Belal Muhammad,UFC 205 Alvarez vs McGregor,"Nov 12, 2016",Live on Pay-Per-View,Loss,Belal Muhammad
5,Augusto Montano,Belal Muhammad,UFC Fight Night Poirier vs Johnson,"Sep 17, 2016",Live on TSN 4/5,Win,Belal Muhammad
6,Alan Jouban,Belal Muhammad,UFC Fight Night Dos Anjos vs. Alvarez,"Jul 7, 2016",Live on Fight Network,Loss,Belal Muhammad
0,James Mulheron,Justin Willis,UFC Fight Night Nelson vs Ponzinibbio,"Jul 16, 2017",Live on FS1,Loss,James Mulheron
0,Pedro Munhoz,Bryan Caraway,UFC - TUF 28 Finale,"Nov 30, 2018",,UPCOMING,Pedro Munhoz
1,Pedro Munhoz,Brett Johns,UFC 227 Dillashaw vs Garbrandt 2,"Aug 4, 2018",Live on Pay-Per-View,Win,Pedro Munhoz
